num,patch,mag,magerr,elongation_norm,fwhm_norm,significance_abs,residual,psffit_sigma_ratio,psffit_peak_ratio,frac_det,density,density_good,bapsf,psf,score
388,3_8,27.925529,2.996812,0.664612,0.870541,4.091538,1.195273,1.061348,1.322913,0.644444,2,1,0.903230,3.933746,0
389,3_8,26.633527,0.898952,0.610533,0.987592,4.768198,0.912511,1.037839,1.028119,0.800000,2,1,0.903937,3.933561,0
390,3_8,25.152332,0.231681,0.559482,0.522222,5.100021,1.390120,0.463620,1.507140,0.733333,1,1,0.920028,3.939078,0
391,3_8,25.550135,0.328992,0.602720,1.376111,4.273764,1.278380,0.843959,0.528913,0.800000,1,1,0.920622,3.938744,0
392,3_8,25.284667,0.253261,0.669696,0.953381,4.386681,0.931474,0.928697,1.196866,0.666667,1,1,0.907830,3.923507,0
393,3_8,24.726327,0.155688,0.936363,1.498876,5.429710,2.709854,0.244717,0.502791,0.777778,0,0,0.927083,3.936140,0
394,3_8,25.920186,0.457174,0.650515,0.750182,5.531426,1.021820,1.029548,1.116006,0.688889,1,1,0.913287,3.921047,0
395,3_8,25.855029,0.436205,0.768687,0.620898,4.186799,1.056669,0.979028,2.088376,0.644444,3,2,0.915035,3.932075,0
396,3_8,25.039788,0.204793,0.754852,0.986771,3.478549,1.014553,0.984138,0.026121,0.733333,3,1,0.915532,3.931163,0
397,3_8,25.147976,0.213738,0.903703,1.686944,4.617142,1.123902,0.910801,0.494602,0.800000,1,1,0.938507,3.921277,0
398,3_8,26.257332,0.622958,0.427835,0.909398,4.574569,1.093315,0.865045,1.454107,0.733333,0,0,0.909817,3.924509,0
399,3_8,25.336425,0.265263,0.446878,1.584728,4.913534,1.107591,0.936181,0.628858,0.711111,1,1,0.914856,3.927905,0
400,3_8,25.231937,0.227752,0.598738,0.913938,6.241125,1.004297,1.039620,0.826422,0.755556,2,2,0.940979,3.915144,0
401,3_8,25.943153,0.468333,0.681787,1.037739,4.753164,1.038960,1.029512,1.153068,0.711111,2,2,0.928624,3.932385,0
402,3_8,25.619002,0.332935,0.801876,0.687787,4.185291,1.111446,0.923288,1.042660,0.733333,0,0,0.935091,3.931245,0
403,3_8,25.978868,0.433987,0.567705,0.825983,4.839049,1.097063,0.843164,0.992363,0.666667,1,1,0.941688,3.915078,0
404,3_8,25.843159,0.387358,0.569755,0.749800,4.732635,1.023924,0.849632,1.549354,0.777778,1,1,0.935141,3.931179,0
405,3_8,25.308819,0.255118,0.750757,1.261692,4.157422,0.937874,0.947119,0.610448,0.844444,0,0,0.930176,3.931013,0
406,3_8,25.288508,0.257751,0.672313,0.720895,5.413263,0.996575,0.923631,1.070249,0.711111,0,0,0.912825,3.920061,0
407,3_8,25.370821,0.261667,0.544356,0.807781,4.861871,1.057838,0.971330,0.897865,0.711111,1,1,0.929403,3.930605,0
408,3_8,25.720265,0.372835,0.575297,0.636127,4.686888,0.782016,0.894509,0.892095,0.666667,1,1,0.926379,3.929180,0
409,3_8,25.312762,0.243749,0.838387,0.861830,5.246303,0.968693,0.955615,1.176400,0.688889,0,0,0.940151,3.931339,0
410,3_8,26.264771,0.586354,0.792337,0.993723,5.031883,0.934649,0.949522,1.276561,0.800000,1,1,0.933213,3.928519,0
411,3_8,25.831858,0.408183,0.725345,0.908703,5.450660,1.116146,0.990284,1.306334,0.688889,2,1,0.924251,3.925121,0
412,3_8,25.285624,0.245550,0.914430,1.614725,4.584290,1.011262,1.106977,0.096748,0.844444,0,0,0.945144,3.928833,0
413,3_8,25.402950,0.257170,0.432510,1.066539,5.146620,0.939216,0.965656,0.415444,0.800000,0,0,0.946426,3.927170,0
414,3_8,25.410572,0.264676,0.520428,0.923991,6.011529,1.136152,0.922093,0.990117,0.733333,1,1,0.939787,3.933048,0
415,3_8,26.434693,0.668682,0.462324,0.786708,4.883639,0.898049,0.936225,1.259951,0.688889,0,0,0.936163,3.932408,0
416,3_8,24.825903,0.160173,0.526968,1.515594,2.798864,1.081672,0.949156,0.514853,0.800000,1,0,0.943037,3.932571,0
417,3_8,24.647467,0.130435,0.958167,1.966306,4.098468,1.278562,0.924084,0.304350,0.822222,5,2,0.955095,3.931577,0
418,3_8,25.475028,0.298847,0.731780,0.751074,4.602618,0.912335,1.134912,0.954494,0.711111,3,3,0.962118,3.969537,0
419,3_8,25.869712,0.395312,0.765095,1.140690,4.396989,0.883304,0.837441,1.085335,0.777778,0,0,0.962280,3.961157,0
420,3_8,25.693986,0.345374,0.469579,1.065744,3.656747,2.732455,0.402720,1.846484,0.733333,1,0,0.953594,3.904277,0
421,3_8,25.546684,0.292875,0.455186,1.036316,4.684721,0.871916,1.007272,1.260030,0.777778,4,2,0.957531,3.925546,0
422,3_8,25.949505,0.413396,0.689002,0.953763,4.259868,0.924667,0.912432,1.751753,0.688889,2,1,0.957800,3.923722,0
423,3_8,26.009351,0.448539,0.457365,0.731361,5.064521,1.062470,0.807156,1.774069,0.600000,1,1,0.963856,3.961090,0
424,3_8,25.374275,0.258640,0.807694,0.770334,4.855376,0.911102,1.211723,1.394918,0.688889,0,0,0.959424,3.925134,0
425,3_8,25.768054,0.365265,0.595115,1.116070,4.687410,0.931362,0.849848,0.600934,0.800000,0,0,0.967986,3.976988,0
426,3_8,25.373829,0.259438,0.695016,1.052630,4.383223,0.782918,0.910779,1.224943,0.822222,1,1,0.961078,3.912835,0
427,3_8,25.934408,0.428264,0.530403,1.032778,5.278488,1.030905,1.001224,0.833593,0.733333,0,0,0.957548,3.884428,0
428,3_8,22.693610,0.055240,0.624771,1.092130,22.057854,2.493157,5.965731,0.976750,0.844444,1,1,0.972194,3.960681,0
429,3_8,25.871876,0.402494,0.530754,0.688737,3.841327,0.990515,0.883053,1.883131,0.666667,1,0,0.967301,3.923767,0
430,3_8,25.533163,0.291384,0.529699,1.046269,5.274688,1.007649,0.947809,0.683502,0.733333,1,0,0.958271,3.873206,0
431,3_8,24.225726,0.131787,0.452731,0.829440,8.752790,1.216261,1.877498,1.080092,0.755556,2,2,0.968136,3.909571,0
432,3_8,26.474853,0.673004,0.580694,0.917356,4.977497,0.967607,0.859344,1.097501,0.666667,2,2,0.962401,3.876277,0
433,3_8,26.405942,0.660422,0.835470,0.857689,4.844871,1.003131,0.938419,0.910402,0.733333,0,0,0.975953,3.947081,0
434,3_8,25.504687,0.301475,0.422345,1.595014,2.542119,1.461279,0.396729,0.406947,0.711111,0,0,0.968466,3.898317,0
435,3_8,24.873917,0.152277,0.950171,1.606428,3.719640,2.050068,0.973662,0.615750,0.866667,2,0,0.967938,3.894665,0
436,3_8,25.222074,0.214876,0.693344,1.396148,4.478296,0.946808,0.972260,0.852810,0.688889,1,0,0.961867,3.862507,0
437,3_8,26.762026,0.907711,0.648357,0.786402,4.735890,0.921690,0.872790,0.888941,0.666667,0,0,0.973756,3.903706,0
438,3_8,25.910295,0.421943,0.997294,0.753149,5.098245,0.868342,0.923746,0.709836,0.666667,0,0,0.973139,3.896798,0
439,3_8,27.254555,1.436423,0.642326,0.698741,4.799805,1.146060,1.132067,2.003493,0.688889,5,3,0.978680,3.922921,0
440,3_8,25.782788,0.375883,0.476491,0.859870,4.697091,0.854729,0.982120,0.867793,0.711111,1,1,0.964801,3.860055,0
441,3_8,25.246001,0.235249,0.636503,1.457331,5.071047,1.028397,1.000775,0.697573,0.755556,3,1,0.975505,3.898142,0
442,3_8,24.640162,0.134307,0.465379,1.440726,6.046482,1.353135,1.005179,0.541677,0.888889,4,2,0.975621,3.890918,0
443,3_8,26.125247,0.513987,0.763679,0.961682,4.936829,1.004243,0.912116,0.216038,0.711111,1,1,0.981153,3.913802,0
444,3_8,27.218259,1.350584,0.812349,0.727894,4.085770,1.017778,0.970858,0.999162,0.644444,0,0,0.977835,3.896651,0
445,3_8,25.695288,0.340118,0.565807,1.010089,5.010891,0.754655,1.114754,0.451597,0.711111,0,0,0.942011,3.904547,0
446,3_8,25.160794,0.230559,0.463617,1.319848,6.301350,2.327788,0.245311,0.820577,0.844444,1,0,0.972238,3.874427,0
447,3_8,25.216379,0.202379,0.706233,1.508802,5.137721,1.057853,0.849900,0.476080,0.755556,0,0,0.970175,3.867306,0
448,3_8,26.543001,0.762984,0.692207,1.018543,5.092981,1.218046,0.931428,1.244068,0.711111,0,0,0.973902,3.878794,0
449,3_8,25.516267,0.297102,0.590888,1.340605,5.091214,0.906245,0.930887,0.592402,0.777778,1,0,0.977545,3.891768,0
450,3_8,25.917505,0.445406,0.499376,0.602837,4.713898,0.915573,1.018673,1.592837,0.688889,0,0,0.975340,3.883690,0
451,3_8,25.289067,0.217653,0.500938,1.120412,5.441198,0.894239,0.804209,1.067015,0.777778,2,2,0.967518,3.859752,0
452,3_8,25.940528,0.433003,0.442804,1.031143,5.123922,0.940540,1.054515,1.297800,0.822222,1,1,0.966932,3.858657,0
453,3_8,25.663698,0.331617,0.403798,1.191044,4.785168,0.891315,1.002331,1.207535,0.800000,1,1,0.944456,3.907703,0
454,3_8,25.754566,0.379010,0.706514,0.777379,3.982172,1.014268,0.922205,1.408833,0.644444,0,0,0.961035,3.852058,0
455,3_8,26.859902,1.046985,0.640287,0.797388,5.555351,0.943621,1.082502,1.210211,0.755556,0,0,0.968712,3.864979,0
